iter	Passed	Remaining
0	146	14490
1	149	7321
2	152	4936
3	155	3733
4	158	3016
5	161	2534
6	164	2190
7	167	1931
8	171	1729
9	174	1566
10	176	1430
11	179	1317
12	182	1224
13	185	1141
14	188	1068
15	191	1006
16	194	950
17	197	900
18	200	854
19	203	815
20	206	778
21	210	744
22	213	714
23	216	685
24	219	659
25	222	634
26	226	611
27	229	589
28	232	568
29	235	548
30	238	530
31	241	512
32	244	496
33	247	480
34	250	465
35	253	451
36	256	437
37	260	424
38	263	411
39	266	399
40	269	387
41	272	375
42	275	365
43	278	354
44	281	343
45	284	333
46	287	324
47	290	315
48	293	305
49	296	296
50	299	288
51	302	279
52	305	271
53	309	263
54	312	255
55	315	247
56	318	240
57	321	233
58	324	225
59	328	218
60	331	211
61	334	204
62	337	198
63	340	191
64	343	184
65	346	178
66	350	172
67	353	166
68	356	160
69	359	153
70	362	147
71	365	142
72	368	136
73	371	130
74	374	124
75	377	119
76	380	113
77	383	108
78	386	102
79	389	97
80	392	92
81	395	86
82	398	81
83	401	76
84	404	71
85	407	66
86	411	61
87	414	56
88	417	51
89	420	46
90	423	41
91	426	37
92	429	32
93	433	27
94	436	22
95	439	18
96	443	13
97	447	9
98	450	4
99	453	0
